Land
Africa Eastern and Southern,1344000
Afghanistan,278000.0
Africa Western and Central,607000.0
Angola,117000.0
Albania,8000.0
Andorra,
Arab World,2899000.0
United Arab Emirates,63000.0
Argentina,103000.0
Armenia,49000.0
American Samoa,
Antigua and Barbuda,0.0
Australia,59000.0
Austria,22000.0
Azerbaijan,82000.0
Burundi,51000.0
Belgium,26000.0
Benin,12000.0
Burkina Faso,11000.0
Bangladesh,227000.0
Bulgaria,37000.0
Bahrain,19000.0
"Bahamas, The",2000.0
Bosnia and Herzegovina,11000.0
Belarus,155000.0
Belize,2000.0
Bermuda,
Bolivia,71000.0
Brazil,762000.0
Barbados,1000.0
Brunei Darussalam,8000.0
Bhutan,
Botswana,9000.0
Central African Republic,10000.0
Canada,72000.0
Central Europe and the Baltics,508000.0
Switzerland,20000.0
Channel Islands,
Chile,122000.0
China,2535000.0
Cote d'Ivoire,134000.0
Cameroon,34000.0
"Congo, Dem. Rep.",134000.0
"Congo, Rep.",0.0
Colombia,481000.0
Comoros,
Cabo Verde,1000.0
Costa Rica,10000.0
Caribbean small states,21000.0
Cuba,76000.0
Curacao,
Cayman Islands,
Cyprus,16000.0
Czech Republic,25000.0
Germany,184000.0
Djibouti,13000.0
Dominica,
Denmark,15000.0
Dominican Republic,71000.0
Algeria,317000.0
East Asia & Pacific (excluding high income),6809000.0
Early-demographic dividend,10987000.0
East Asia & Pacific,7993000.0
Europe & Central Asia (excluding high income),3056000.0
Europe & Central Asia,4993000.0
Ecuador,42000.0
"Egypt, Arab Rep.",836000.0
Euro area,1445000.0
Eritrea,202000.0
Spain,199000.0
Estonia,7000.0
Ethiopia,138000.0
European Union,1910000.0
Fragile and conflict affected situations,3276000.0
Finland,27000.0
Fiji,4000.0
France,304000.0
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,7000.0
United Kingdom,149000.0
Georgia,26000.0
Ghana,16000.0
Gibraltar,
Guinea,13000.0
"Gambia, The",4000.0
Guinea-Bissau,4000.0
Equatorial Guinea,1000.0
Greece,147000.0
Grenada,
Greenland,
Guatemala,43000.0
Guam,
Guyana,3000.0
High income,5341000.0
Honduras,23000.0
Heavily indebted poor countries (HIPC),1605000.0
Croatia,18000.0
Haiti,1000.0
Hungary,40000.0
IBRD only,16563000.0
IDA & IBRD total,21141000.0
IDA total,4578000.0
